
ID,Value
Andaman and Nicobar Islands,10
Andhra Pradesh,180
Arunachal Pradesh,1
Assam,25
Bihar,29
Chandigarh,16
Chhattisgarh,19
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,386
Goa,7
Gujarat,105
Haryana,43
Himachal Pradesh,4
Jammu and Kashmir,78
Jharkhand,2
Karnataka,128
Kerala,286
Ladakh,13
Madhya Pradesh,164
Maharashtra,537
Manipur,2
Meghalaya,0
Mizoram,1
Nagaland,0
Odisha,9
Puducherry,6
Punjab,53
Rajasthan,198
Sikkim,0
Tamil Nadu,411
Telangana,237
Tripura,0
Uttar Pradesh,203
Uttarakhand,1
West Bengal,63
